date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-16,0aff1e2a-4dec-41a3-8f2b-e480895a2c4e,4,0,2,4,0
2018-04-16,0f3adfc3-290b-4cae-a153-adfcbb6480b2,17,3,1,6,10
2018-04-16,2ef9ccea-ac74-4052-85f5-3a08cc754807,4,0,1,4,4
2018-04-16,3e1b3ad1-977a-4da6-b4e0-9140bd67f115,1075,2014,3,9,9
2018-04-16,4f737ff9-a159-4f85-af46-3505cb3032a8,39,4,2,10,37
2018-04-16,5306d93b-8543-445e-ac78-725e35497317,145,12,5,101,86
2018-04-16,574c7caa-8adc-4734-8006-5c7657d05822,6,1,0,2,3
2018-04-16,85d70c9c-3f77-4510-9808-fae0e9d65de4,4,0,1,4,4
2018-04-16,8b2f2aab-400e-4aa5-b04a-528289e2111a,4,0,2,4,4
2018-04-16,ada75c28-e6ff-4be7-a7bf-7bab3726dfe5,90,7,1,67,68
2018-04-16,f4c539cd-b425-4d05-92b2-1a24cdbeecdd,2703,95,24,183,308
