date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-02-27,16d75a73-54a5-4c7d-a7c7-a4cad069ba81,44,5,0,3,36
2018-02-27,1df485a7-24aa-4401-9f7a-fd789783386e,96,3,0,0,49
2018-02-27,24c031a5-6db9-4622-a1e2-9c0d5ef20d7c,0,0,0,0,0
2018-02-27,274a9625-161a-4bc0-aff3-9cd5f8a9fc32,0,0,0,1,0
2018-02-27,49c94271-37fd-46b7-a59f-00fbe582b4fb,39,10,0,2,37
2018-02-27,4b3861e1-7e90-48c6-a42d-a2d06585df78,2,0,0,2,1
2018-02-27,82662150-e6e6-4c4a-aecb-cc3a4be683d6,0,0,0,0,0
2018-02-27,865e2931-1118-46b2-9c4a-699b6cb0c6f0,0,0,0,0,0
2018-02-27,8a1c10e1-9901-4880-974a-86c87c6d6c1a,47,2,0,0,45
2018-02-27,8e77cdd6-5987-42a7-a886-e23646287059,8,1,0,3,0
2018-02-27,afaaf530-9e0f-4065-85e2-e23052800ce4,48,1,0,3,45
2018-02-27,b53a630f-4d23-420a-8d6a-cfd7654d8be9,1,0,0,1,0
2018-02-27,bd7ea543-e7eb-4fa8-9511-7a10dd505c3e,0,0,0,0,0
2018-02-27,c687e27b-58a2-4986-a99b-862aa454776d,0,0,0,0,0
2018-02-27,c99336de-ebe4-42d8-994a-7eabcb2757ab,76,1,0,1,46
2018-02-27,de1dbb9a-7b36-48f2-9154-b3d4d77bbd55,0,0,0,0,0
2018-02-27,e92395e2-4056-4904-923a-0c8ccea24497,8,1,3,4,0
2018-02-27,ece2b36a-bb8a-442e-96c9-1e8dffcea124,0,0,0,1,0
