date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-02-01,37640,42,0,1,0,27
2018-02-01,37641,42,0,0,24,32
2018-02-01,37642,16,1,3,10,11
2018-02-01,37643,14,10,5,10,20
2018-02-01,37644,0,0,0,0,0
2018-02-01,37645,46,10,0,10,40
2018-02-01,37646,50,7,0,4,46
2018-02-01,37647,33,8,0,2,39
2018-02-01,37648,11,0,0,4,3
2018-02-01,37649,28,2,1,8,21
2018-02-01,37650,61,2,0,47,6
2018-02-01,37651,177,10,1,144,27
2018-02-01,37652,3,1,0,2,1
2018-02-01,37653,0,0,0,0,0
2018-02-01,c1e5023b-09c5-4de1-8c51-825ea222c9c6,0,0,0,0,0
2018-02-01,e8038764-3bf8-4dfd-8ad5-03370432fe6c,0,0,0,0,0
