date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-16,1853549d-03f7-4d52-8f59-b58d88b24110,8,0,2,7,0
2018-03-16,1f2c6f20-4495-4f20-b3a5-563e78757122,2,0,0,1,0
2018-03-16,337e28a8-5d66-4764-ad0e-ec22b2efb670,8,0,2,7,0
2018-03-16,423efbcd-7faf-4824-8e85-7a6a831a9848,42,5,0,5,22
2018-03-16,50b7fef7-8c30-4b3d-b87b-9c172c2cafa2,2,0,0,2,0
2018-03-16,73ab3a25-fa1f-4a9e-bd0d-873aa208d51a,13,0,0,6,11
2018-03-16,843da20b-3ce4-40ef-a672-aa19341518ce,8,0,4,7,0
2018-03-16,868fe61f-bd7e-4d48-a0ca-6371c8bf24c8,8,0,0,4,8
2018-03-16,912f4d51-7c80-4a78-a444-d5f9c7b6ff77,238,46,0,38,40
2018-03-16,ce96d4b4-7b7b-452f-b9fc-51cbe969aa9e,8,0,1,7,0
2018-03-16,d05b2dac-dd98-4713-8fc0-e1b7135a6eee,706,81,2,33,0
2018-03-16,d4910b2d-4805-4b2f-b4ca-3cca3fd1fe47,4,0,1,3,0
2018-03-16,ef2690c9-ba80-4dee-abde-512810eabdf7,1090,227,9,61,0
