date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-27,031ea8e3-d298-4cf7-adb7-84692b3a19ed,2,0,1,2,1
2018-03-27,1995631b-2f3d-4517-ab7c-3844a82a3c85,3,0,2,3,2
2018-03-27,1abc92a5-742f-43a5-a143-0ce9978cf7c7,1,0,0,1,0
2018-03-27,5202e509-10f0-4bf7-8fc6-9c96d94dd7a0,1,0,1,1,0
2018-03-27,65665c7f-416f-4364-a310-1ff375a3aaaa,4,0,1,3,0
2018-03-27,6c46c220-447d-4201-ad7d-b3d6c6445184,2397,82,114,717,275
2018-03-27,79412568-f455-404a-879a-5a22c0f9e111,1,0,1,1,0
2018-03-27,7eca644c-dbfd-4df0-9fef-d83d2071426e,1,0,0,1,0
2018-03-27,7f1d3661-e722-4245-85c3-d9756346f07b,227,25,15,183,64
2018-03-27,8bbbefad-b478-4202-b47b-cec7dbab17f7,1,0,0,1,0
2018-03-27,8da19996-be27-478e-ad17-b96c378e3430,3,0,1,3,0
2018-03-27,a729dc55-8de7-4e02-9f23-9c4595c9efc1,2,0,1,2,1
2018-03-27,c2be90a3-427a-495a-ab3d-5622ebe2c818,44,3,0,24,6
2018-03-27,c2df75cb-cf9b-41cc-ac10-b77ec630593c,44,3,2,23,6
2018-03-27,c7029415-4481-4b53-87b7-10ca9bc24b2c,1,0,1,1,0
2018-03-27,e86fe260-ef99-4687-8b7e-e72b6b73c835,217,26,11,53,51
