date,cid,ndelivered,ndrop,nclicked,nopened
2018-04-12,06ec3ba2-3f74-4901-b68e-a82a6a3e9d55,84,15,1,30
2018-04-12,18d5b0ce-68ed-465f-8832-521fa713d615,3,0,1,3
2018-04-12,3cb5c69d-23ea-47c8-a3e3-fb625a307308,15,0,2,9
2018-04-12,41354ed2-a9a6-486a-9a66-263548391487,25,1,0,3
2018-04-12,5fd17a8f-d9ba-440b-8e77-725a4459d35c,15,0,0,7
2018-04-12,65f38cb9-85ce-43d5-bc2c-6ae34211d649,16,0,1,15
2018-04-12,93fd5a0c-2fd5-4911-875a-28d87b4d7341,3,0,2,3
2018-04-12,ae619c5d-3f83-40c2-9a1e-c5f55bc9e6a1,1,0,1,1
2018-04-12,b693c907-22f2-4833-b5d0-2edc523fb115,4,0,0,3
