date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-20,02a50b83-45d2-43f3-827e-5e361fd665e1,19,0,1,5,10
2018-04-20,16561cea-e849-497f-8980-847e99114d6f,1184,38,39,248,741
2018-04-20,4035f002-8c97-43b7-a7bb-ec045b9e5f44,7,0,0,0,7
2018-04-20,501dd778-3299-4851-8288-46b39b34431e,19,2,0,3,12
2018-04-20,545a2401-51a6-4b03-95a2-adba619e23f4,1,0,0,0,1
2018-04-20,6e6123d9-2d81-4d33-83e0-0c124c790400,5,1,0,2,3
2018-04-20,7083e9a4-520a-467c-a543-00e12fc3b669,2,0,0,0,2
2018-04-20,7700ee38-59d2-4ac6-a7ab-48914ba79233,37,3,1,7,39
2018-04-20,bd9bad56-e3f2-4e5b-9004-5d31f5cd064d,9,0,0,2,7
2018-04-20,d24989a9-febd-498d-adb7-cb2acc6c19b8,23,3,0,0,0
2018-04-20,d3d8c3be-e52b-42d8-978c-f69206dab7b4,8,0,0,0,7
2018-04-20,e18586bb-9926-4713-ac1b-240fdb099306,313,23,2,19,39
2018-04-20,f1163b11-dbbb-40d5-b382-638d155ef8b7,750,20,13,96,656
2018-04-20,f5044349-ebaf-45eb-903b-a56691b11d87,9,0,0,1,7
2018-04-20,f78c0f9c-09da-4790-b1f4-8d5670eeefaf,6,1,0,3,3
