date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-13,0962570e-6156-4e6c-93e6-67ed4f567eb4,3,0,1,2,3
2018-04-13,2d113241-a33c-45d4-805b-7cc1aada823b,2829,521,40,641,229
2018-04-13,6315941b-9195-419b-b812-a36f0083e7cf,1,0,0,1,1
2018-04-13,65571f01-5be3-4a67-9658-e89f112f4251,11,0,0,7,8
2018-04-13,937767fa-36ed-427b-9b9e-67e860aa7e45,22,8,0,7,18
2018-04-13,c70154d4-a5aa-411d-9e82-52baa4dda16f,19,0,2,17,18
2018-04-13,c785df53-e230-467a-b768-76b2ee4d56cc,2,0,0,0,1
2018-04-13,cb3699fb-a1d9-40d7-b139-6d84fa5e69f1,1,0,1,1,1
2018-04-13,cff1520e-0535-4e47-8f67-8cc1dc166267,12,0,1,9,7
2018-04-13,fae3ee08-03e6-4a35-b895-4cb13867cc1a,6,2,0,0,2
