date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-05,1a267f7b-da51-4c12-9092-462123119965,2,1,0,1,3
2018-03-05,1aa28802-97d1-4d22-ae55-361829ca331a,68,1,4,35,37
2018-03-05,426276f6-b0c5-447f-a560-7024179894ca,2,0,0,0,2
2018-03-05,5e5ce03b-e9ed-4237-9708-1e499b4c0378,25,11,0,6,24
2018-03-05,68e4dd07-39f0-4068-ab9a-0d70e286e84f,0,0,0,0,0
2018-03-05,6c0e9211-31be-47ca-b9e4-d409e6733e4e,0,0,0,0,0
2018-03-05,7e54d579-af75-45ec-8613-54702d271d11,5,0,0,4,5
2018-03-05,852fe917-447e-4f68-b63e-f11dcabf3396,15,0,2,7,4
2018-03-05,89abe87b-eb79-4f90-8f26-ed9445fbc393,4,0,0,3,0
2018-03-05,8b6db591-c29d-42dc-a7a8-76dbe363b9a0,1,0,0,1,1
2018-03-05,b4902506-4d92-49de-9c3c-1b830a03364b,0,0,0,0,0
2018-03-05,b644a933-ee5a-4c86-ac16-b7e1a1dea2d7,2,1,0,0,3
2018-03-05,bdf495df-0dfa-482b-b8e3-d6467661fc3e,0,0,0,0,0
2018-03-05,c1e7e8ab-96fe-4e45-a21f-130e40e3676d,38,3,2,14,19
2018-03-05,c62467d4-3c28-4819-a961-bfbe6a4e7eb3,0,0,0,0,0
2018-03-05,ef68acaf-3b95-43ad-8ecb-b56c924d9e42,3,0,0,3,0
2018-03-05,fbf5d592-eba6-45f9-9c30-bfd39f8183de,108,4,4,49,27
2018-03-05,fcfbb0e9-d0c9-4749-8528-29f47afb3315,3,0,0,3,0
