date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-02,02d4bb32-24cb-452f-a772-c86545567098,4,0,1,3,0
2018-04-02,3752385d-ed80-4f87-9354-f11812a92e7e,67,5,2,57,49
2018-04-02,4a7189e1-be41-409f-9f5d-eb903a84d645,3,0,1,3,1
2018-04-02,4b0eb15e-a560-452b-b08a-5100bc3f1672,2530,27,27,220,226
2018-04-02,7b3d304e-195b-4a84-9452-40b5bcab20b7,123,13,2,107,78
2018-04-02,972932bb-adc9-4088-bd9b-091bca60c681,5,0,0,2,0
2018-04-02,db94c833-3edc-4166-ac45-0c0f86ee5875,5,0,0,2,0
2018-04-02,e2e1267d-5423-4bb2-bb3d-e0e86fc5907e,5,0,1,5,1
2018-04-02,f9952c55-c785-472f-93f3-0802742463a9,4,0,4,4,0
