date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-04,4160c24f-078e-4160-a884-8881df1170f6,4,0,1,4,4
2018-04-04,497af651-7d33-4649-b181-0fbad355af56,3,0,0,3,2
2018-04-04,52aae662-c888-4ae3-ac01-89d4c9c1da7f,3,0,0,3,2
2018-04-04,58f9604b-8590-4226-b2b3-8365a8dabb03,7,0,0,3,0
2018-04-04,5a85529e-ea85-4ebe-9005-28c5dde27d7b,9,0,0,3,0
2018-04-04,6a19effd-fc04-4943-8484-3681b9d0e3b5,584,147,13,235,109
2018-04-04,75ff7f3f-1bde-4cf2-b406-761df6c6268c,5,1,0,1,0
2018-04-04,7714d696-63cc-4dd9-b0c1-c2819ccdcfb5,14898,15136,164,508,2195
2018-04-04,cab59d56-7570-40be-a4bf-5e03ad9ee107,8,2,0,2,0
2018-04-04,cf4b46ec-b109-4dc4-89bc-bfcf21aa2692,138,1,6,116,49
2018-04-04,e15c39cf-2f0d-4dba-a58d-9b188e358c4a,88,85,0,13,20
2018-04-04,fc625880-db0d-46af-8899-bcfca02927f6,7,0,1,5,0
