date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-08,1801455a-13d8-4b44-81bd-110e9c961cfa,1,0,0,1,0
2018-03-08,1a24456f-84b4-486d-a22d-962db9380572,641,340,35,231,65
2018-03-08,279d6e77-2156-48ea-94e7-13eac066aa5e,5,1,2,5,2
2018-03-08,4062b4ac-186d-4b46-b419-918d02241695,1,0,0,1,0
2018-03-08,47950339-98d7-46ed-b3bb-db2f94e681f4,713,762,0,73,774
2018-03-08,47b2238e-1806-4a48-a43b-6549232de293,1,0,0,1,0
2018-03-08,55d43f8f-f54f-4db9-b3aa-35d3603f661d,1,0,0,1,0
2018-03-08,57ade800-536b-4215-a49a-027b7de37d94,1,0,0,1,0
2018-03-08,5a201a8a-4316-4705-a17a-a5dddc18b1fa,1,0,0,1,0
2018-03-08,5e1593c7-2872-401e-917f-d73bcd40d183,1,0,0,1,0
2018-03-08,61011038-d8b2-4fa1-8ab5-d130739a43fd,1,0,0,1,0
2018-03-08,6e8a8cec-9165-40d6-945a-b036d9960f38,964,365,31,183,69
2018-03-08,7a90ecd8-f9a9-41d8-b613-b7551f6522b5,1,0,0,1,0
2018-03-08,b69ed687-1c60-4e81-ae00-a649ccbae009,1,0,0,1,0
2018-03-08,c43aa237-c8e9-446a-9204-04ea72ea21ce,1,0,0,1,0
2018-03-08,c4c04c9d-b1c0-47a5-a5df-30d9bad50569,1,0,0,1,0
2018-03-08,e471ba03-a0fb-4e6e-846f-e236943d7e8a,1,0,0,1,0
2018-03-08,f10b24be-1bb5-4c7f-9900-28a8cad248b6,1,0,0,1,0
2018-03-08,f26a79f3-42cd-4384-bbdd-21192cd4737a,1,0,0,1,0
2018-03-08,fcf620f8-c6bf-4a39-a4b6-6c614f10bc35,1,0,0,1,0
