date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-28,01654376-2776-48d3-9029-d08e9b729e77,2,0,0,1,1
2018-03-28,08f3e486-76d1-498b-bf88-fcd466fee676,8,2,0,5,0
2018-03-28,27c01582-fc4e-4c04-b510-92cf16988bcb,1,0,0,1,0
2018-03-28,2cbe5b8a-50c6-463c-afc8-fbbfc5f6d1c7,30,2,3,19,21
2018-03-28,2fc574ec-4d5a-48f0-a8dc-67cf5ef7651f,1,0,0,1,0
2018-03-28,310cef11-66fe-47ed-9e50-c6e9048874cc,237,237,11,28,27
2018-03-28,476a6172-0eee-4108-812c-906ce1cbfabd,7,2,0,3,0
2018-03-28,600322ea-ea2d-4c5b-af57-50468d869d3d,2,0,0,1,0
2018-03-28,615b7388-550f-48dd-b28a-19b896d7a83b,2,0,0,1,2
2018-03-28,69b8cf92-224e-4e46-9f3f-6e66e97aa9b4,8,0,0,2,0
2018-03-28,9e09a8d8-31ba-480b-8520-dac92deb4f17,6,0,0,3,0
2018-03-28,d5df77e7-9a2d-4ce4-9511-7c985b718ac5,1,0,0,1,0
2018-03-28,d60a9718-a94d-4314-9343-6809dbcccb66,9,0,0,1,0
2018-03-28,e2e0f711-cf80-48d5-b4b8-a0e7dd35112a,6,0,0,3,0
2018-03-28,e55382c0-5ee5-439d-93b8-33a22418bbac,2,0,0,0,0
