date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-29,02e1636a-c4a1-4890-9067-e66f1d3a9527,1,1,0,1,2
2018-03-29,0515f010-ff3e-4a55-b61a-26eebac2fc72,7,2,0,3,7
2018-03-29,2df244ac-7da6-4c9f-822e-ab8b01f8652d,89,9,3,54,35
2018-03-29,46bd80d4-428f-45f5-bcf0-1f586e2fdd8f,46,5,1,33,10
2018-03-29,5efae6a5-d9ab-4200-a6e1-d02bf137e662,24,5,1,19,25
2018-03-29,7874857b-a4e1-4808-a934-5d7846acd358,13,0,0,3,0
2018-03-29,893d46e0-095c-438c-8a73-5d98bb91c820,1,0,0,1,0
2018-03-29,93412860-8881-4641-b3b3-a8e20a5c0c5f,3,0,0,3,0
2018-03-29,a2e5fa0e-09de-4c52-b5e1-0d60a02b4eac,11,0,0,3,0
2018-03-29,aa9e68fd-2c01-4063-9058-49b5d22cbeef,45,2,1,22,6
2018-03-29,b64c485b-0fd4-407b-b0cd-08bda751932f,30,2,3,16,18
2018-03-29,be8c2206-8de8-4203-911f-4a9c645f7d77,9,0,0,4,0
2018-03-29,c58204d4-419d-409a-8006-7a79a0df28f3,44,4,6,32,7
2018-03-29,d2cccc67-6ca9-435e-98e3-348017a9a9f4,4,0,2,3,0
2018-03-29,d9f8ae5a-4215-4ca5-a00a-433f38d725f4,3,0,1,3,0
2018-03-29,ea974e0c-6790-4cb3-acbf-ce9151848724,3,0,1,3,2
