date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-17,0ddc886f-3793-4160-ad78-a44a4f451c9b,8,1,0,0,8
2018-04-17,0e8675c5-73b6-4752-b500-e0b0e3499164,4,0,3,4,4
2018-04-17,64ea3a82-b2c2-4676-bef5-d84403f988c2,1,0,0,1,1
2018-04-17,8dcfe6f2-217c-42c3-aa96-95831d9365fa,1,0,0,0,1
2018-04-17,98095b9b-f96b-4677-9137-6d77f33a6838,26,3,1,10,26
2018-04-17,b8cf97fd-0d5f-4469-8bc7-438dd5b8fe00,6,0,0,0,6
2018-04-17,b9cc5637-7f76-44df-aed9-98a7a86a4489,1,0,0,0,1
2018-04-17,da801e28-ab0b-4f5b-ab68-486580ab2438,15,0,1,10,15
2018-04-17,ef14a933-f3f2-444b-bb10-e0a2103a7310,3401,1256,18,587,1014
