date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-19,46639e2b-6132-41c9-ba1a-2e7b545aab1f,7,0,0,5,2
2018-03-19,4dd98844-fdb3-4527-a220-4f308097b43c,208,6,3,104,98
2018-03-19,50f79539-2086-4ef8-b090-e923ff6a69e1,208,6,0,134,173
2018-03-19,5130a6f1-ea4d-494c-acc1-779f436d1ad2,1485,134,8,242,80
2018-03-19,5abe5b24-bbd4-4070-a37c-8d3d367e6f41,145,8,10,87,58
2018-03-19,6f5d2e8f-c306-4323-a580-eaad83fe8e70,4,0,0,2,0
2018-03-19,afce80f7-3e11-4648-91f2-14609fdfad67,3,0,0,3,2
2018-03-19,d69bf480-ee7e-484e-9552-6b88ac7dc438,3107,263,0,1021,129
2018-03-19,edce668e-e457-4158-823d-057d813e765b,7,0,0,4,2
