date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-02-05,040cc9ce-b58b-4f79-a90d-fc6be19e1217,0,0,0,0,0
2018-02-05,1b21a1bc-b34d-4fa5-b4c1-e08442812205,0,0,0,0,0
2018-02-05,20ae974c-782d-42db-ba84-df9aa38d03f8,0,0,0,0,0
2018-02-05,2cd3fc27-66a2-4871-b539-dfd4c806f7dc,0,0,0,0,0
2018-02-05,37694,8,0,0,0,6
2018-02-05,37695,10,0,0,3,8
2018-02-05,37696,6,2,0,1,7
2018-02-05,37697,1,6,0,1,7
2018-02-05,37698,0,0,0,0,0
2018-02-05,37699,30,0,0,13,1
2018-02-05,37700,45,0,0,21,4
2018-02-05,37701,2,0,0,2,1
2018-02-05,37702,10,1,0,2,10
2018-02-05,37703,1,0,0,0,1
2018-02-05,37704,1,0,1,1,0
2018-02-05,37705,2,0,0,0,0
2018-02-05,37706,0,0,0,0,0
2018-02-05,37707,0,0,0,0,0
2018-02-05,46e7adaa-3d4a-407f-99c9-b7586805c1be,0,0,0,0,0
2018-02-05,68b4938a-9568-4fed-8117-75da43a7f4f2,0,0,0,0,0
2018-02-05,785858fe-49a7-4a93-be3e-2d912d192c30,0,0,0,0,0
2018-02-05,88cc5ab0-f533-4482-8679-2eff39a088e1,0,0,0,1,1
2018-02-05,dba65fae-9602-427a-9878-2611b9fdf028,0,0,0,0,0
2018-02-05,e01a6561-e88d-4722-b5a1-c8f0b7fd94a5,0,0,1,1,0
2018-02-05,e8d4492b-3bed-4460-b2c5-9122f7dd31b8,0,0,0,0,0
2018-02-05,ea9e4968-ecba-4ac4-962f-4fb4f14e3c6d,0,0,0,0,0
