date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-26,0a62f803-5df8-4ccb-87b2-737b9219bd5c,0,0,0,0,0
2018-04-26,1e62d24c-51cf-437b-9d10-4f7213d1e49a,844,25,9,107,620
2018-04-26,2f3faf96-ec98-4835-80c0-7ecad89c2249,0,0,0,0,0
2018-04-26,584d57d6-4c03-4145-a511-c7eba74209d1,19,0,0,1,10
2018-04-26,65001fc7-212e-47d4-93b9-a36325316add,287,231,1,2,4
2018-04-26,66592fee-5e41-4d8b-99d5-5666beb9f80d,0,0,0,0,0
2018-04-26,8a2f126c-e33d-461e-9b84-0682e4e72867,315,63,2,2,4
2018-04-26,990058aa-f51a-414e-a259-acb200212fa8,1913,81,37,282,64
2018-04-26,d872268b-d637-453d-bd14-702587fd668a,749,41,9,80,683
2018-04-26,ddff7f43-c015-4d6c-8808-78d297ba1a1d,0,0,0,0,0
2018-04-26,e0e650c3-b848-4ca1-896d-cf00cec1eee9,0,0,0,0,0
