date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-22,0722c8f2-ee88-4a8c-9278-efa4b7aad534,4,0,0,2,4
2018-03-22,35f56d70-11c0-4701-a9f6-65bde46c8161,2,2,0,0,4
2018-03-22,3671e092-72a7-41da-9013-994ba9527d0f,17,0,0,4,17
2018-03-22,37cec1ab-1ce6-4a65-b8a9-baa784a9963d,3,0,0,2,3
2018-03-22,39c4cb55-56cf-4e96-ab6b-ec64d0c5d2ea,8,2,0,3,10
2018-03-22,463a969c-b98d-4115-87f9-da53c5394a2f,75,13,1,17,53
2018-03-22,54891539-abe4-4fec-97a6-d5475f7a9488,70,6,4,45,12
2018-03-22,6455a56c-9662-41e5-8735-2c6c9aed4c0b,4,0,0,2,4
2018-03-22,8f0a41cb-8421-4e28-8b4a-d449c54f09bd,7,1,0,2,7
2018-03-22,a615a8ab-3023-4eba-a741-665c1a49b936,1,0,0,0,1
2018-03-22,b44e75d5-a9cc-4608-a744-18ffb82e3215,121,17,8,73,43
2018-03-22,c6c8d56c-3fd2-49e4-aa82-fdbff36ef24b,44,10,3,13,44
2018-03-22,c9914574-1001-4854-8d1d-6dda03ae265e,50,5,1,14,49
