date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-24,0912468a-fe0a-44db-96f3-d9b4c1fec3b3,11,1,0,3,11
2018-04-24,188f313d-deb4-44c4-a06e-29d72c28b651,4,1,0,1,5
2018-04-24,1aa030df-a004-42d6-baf5-f240998c7c42,8,0,0,2,8
2018-04-24,257268ed-d282-49fc-a1ef-d3739b10c904,3,0,0,1,3
2018-04-24,745c2863-d8f1-4211-8b28-ccd054a350a1,12,0,2,3,12
2018-04-24,9cdd2c92-0b51-479d-9586-be633e02db1e,5,0,0,2,5
2018-04-24,bc4bee99-7c9f-4831-8bfd-e31b199cc78a,752,47,10,74,689
2018-04-24,d679e756-9a17-4c82-adcf-2c7af37670a1,1,0,0,0,1
2018-04-24,d88682cf-7b61-48a3-8e77-7f3a43147910,19,0,2,6,11
2018-04-24,fd42b61c-1adc-42e8-9cbb-cc7ea23cf821,15,2,1,2,15
